"name";"url";"comment"
"Amazon.DE";"http://www.amazon.de/gp/search?ie=UTF8&amp;keywords={isbn}&amp;tag={amazonID}&amp;index=books";""
"Amazon.COM";"http://www.amazon.com/s/url=search-alias=aps&amp;field-keywords={isbn}";""
"Bookzilla.DE";"http://www.bookzilla.de/shop/action/quickSearch?searchString={isbn}";""
"Buchhandel.DE";"http://vlb-public.bvdep.com/?caller=vlbPublic&amp;strFrame=titelsuche&amp;isbn={isbn}";"All books available in German book trade"
"Google.DE";"http://books.google.de/books?isbn={isbn}";""
"Google.COM";http://books.google.com/books?isbn={isbn}";""
"Hugendubel.DE","http://www.hugendubel.de/suche/index.html?com={isbn}&amp;f=search.getsearch";""
"Thalia.AT","http://www.thalia.at/shop/ama_homestartseite/suche/?sq={isbn}";""
"Thalia.CH","http://www.thalia.ch/shop/ama_homestartseite/suche/?sq={isbn}";""
"Thalia.DE","http://www.thalia.de/shop/ama_homestartseite/suche/?sq={isbn}";""
"abebooks.DE";"http://www.abebooks.de/servlet/BookSearchPL?ph=2&amp;isbn={isbn}";"Used books / Antiquariat"
"BookCrossing.COM";"http://www.bookcrossing.com/search/?title=&amp;author=&amp;category=&amp;isbn={isbn}&amp;bcid=&amp;status=0";"gratis exchange (see http://de.wikipedia.org/wiki/Bookcrossing)"
"BookLooker.DE";"http://www.booklooker.de/app/result.php?mediaType=0&amp;isbn={isbn}";"market for used books, videos, ..."
"Buchfreund.DE";"http://www.buchfreund.de/results.php?q={isbn}";"MetaSearch for used books"
"EuroBuch.COM";"http://suche.eurobuch.com/?isbn={isbn}";"MetaSearch for used books"
"ZVAB.COM";"http://www.zvab.com/?axx=wiki_ISBNde&amp;isbn={isbn}";"Zentrales Verzeichnis Antiquarischer Bücher (http://de.wikipedia.org/wiki/Zentrales_Verzeichnis_Antiquarischer_B%C3%BCcher)"
"LibraryThing";"http://www.librarything.de/search_works.php?q={isbn}";"Social Stuff"
"LovelyBooks.DE";"http://www.lovelybooks.de/suche/{isbn}/";"Social Stuff"
